roll,yaw,pitch,top,left,width,height,look_result,pitch_result,position
3.2,-4.7,-8.1,323,476,98,98,0,-1,-1
3,-4.7,-11,300,416,77,77,0,-1,-1
3.7,-3,-6,267,385,58,58,0,-1,-1
2.8,-3.3,-4.8,247,356,48,48,0,-1,-1
5,-2,-5.3,229,345,42,42,0,-1,-1
2.8,-8.3,-6.5,230,263,42,42,0,0,2
2.7,-3.8,-5.2,246,260,48,48,0,-1,-1
3.6,-0.6,-11.1,266,253,55,55,0,0,12
3.1,0.1,-12.5,298,255,78,78,0,0,3
1.6,0.5,-15.9,344,234,103,103,0,0,1
-2.3,4.7,-9.4,333,1,104,104,0,-1,-1
0.4,-2,-10,289,84,76,76,0,-1,-1
1.1,-3.3,-8,263,132,59,59,0,-1,-1
0.6,-4.1,-3.7,239,142,49,49,0,-1,-1
4.3,-5.8,-1.8,223,163,40,40,0,-1,-1
3.2,-8.2,-19.9,336,454,104,104,0,0,9
4.1,-10.2,-26.4,325,432,78,78,0,1,40
4.4,-1.1,-5.8,263,375,58,58,0,-1,-1
6.6,-1.9,-1.5,244,365,47,47,0,-1,-1
6.5,-5.9,-4.5,231,344,42,42,0,-1,-1
0.9,-8.8,-5.9,227,259,44,44,0,-1,-1
0.4,-7.2,-4.4,244,260,46,46,0,-1,-1
0.8,-4.2,-9.9,265,253,57,57,0,0,6
1.7,-2.3,-14.7,300,231,78,78,0,0,9
2.6,0,-18.9,343,229,104,104,0,0,7
-1.3,11.7,-18.1,333,0,95,106,0,0,9
0.3,2.1,-8,294,44,79,79,0,-1,-1
1.9,-0.6,-6.2,263,107,58,58,0,-1,-1
0.7,-3.2,-7.4,242,142,48,48,0,0,2
2.3,-5.2,-3.4,227,165,41,41,0,-1,-1
3.7,1.3,-10.4,369,474,108,108,0,-1,-1
0.8,1.7,-9.5,315,430,80,80,0,-1,-1
2.3,4.3,-7.6,277,391,60,60,0,-1,-1
2,2.4,-7.8,253,358,48,48,0,0,3
3.8,2.1,-9.9,236,337,40,40,0,0,21
5.6,5.2,-12.8,233,272,40,40,0,0,36
0.5,1,-17.5,250,267,47,47,1,1,48
0.8,2.2,-15.6,267,262,58,58,0,0,26
0.2,0.8,-11.5,316,260,78,78,0,0,0
-0.2,1.6,-12.9,384,247,103,95,0,-1,-1
-4.3,5.1,-6.7,365,21,105,105,0,-1,-1
-2.7,0.4,-10.9,313,83,78,78,0,-1,-1
-3.2,1.2,-11,268,128,60,60,0,0,8
-1.6,-0.1,-14.3,248,153,49,49,0,0,30
2.3,-0.2,-11.6,236,165,39,39,0,0,32
1.7,0,-10.4,357,476,106,106,0,-1,-1
1.2,-0.2,-8.4,312,434,79,79,0,-1,-1
1,2.8,-8.1,273,393,56,56,0,0,0
2.8,3.5,-7.5,253,362,51,51,0,0,0
2.9,3.2,-8.3,240,347,41,41,0,0,12
3.8,1.6,-16.1,237,273,41,41,1,1,52
-0.1,2.6,-16.9,253,261,48,48,1,1,43
1.2,2.6,-9.8,271,270,58,58,0,0,5
-2.2,0.7,-11,313,259,77,77,0,-1,-1
-0.6,0.6,-11.1,375,247,105,104,0,-1,-1
-3.9,3.1,-2.3,358,24,103,103,0,-1,-1
-2.1,1.4,-7,310,81,82,82,0,-1,-1
-1.3,2.1,-13.2,273,130,60,60,0,0,15
-0.2,0.9,-12.3,247,156,48,48,0,0,23
2.2,0.5,-10.8,232,174,40,40,0,0,26
0.4,-0.3,-5.9,325,450,104,104,0,-1,-1
-0.2,-3.1,-7.4,290,420,77,77,0,-1,-1
1.9,1.7,3.5,249,379,58,58,0,-1,-1
0,0.3,-1.5,235,354,49,49,0,-1,-1
4,-1.3,-2.9,215,344,40,40,0,-1,-1
-0.8,0.9,0.6,218,260,39,39,0,-1,-1
-2.5,-0.4,-1.8,232,263,47,47,0,-1,-1
0.6,4.4,-5.4,249,259,57,57,0,-1,-1
-0.8,-1,-7,278,243,76,76,0,-1,-1
-1.1,-0.9,-4.9,319,247,101,101,0,-1,-1
-5.7,3.3,-9.9,311,71,95,95,0,-1,-1
-2.5,1.9,-6.1,277,71,80,80,0,-1,-1
-2.2,2.7,2.9,242,140,56,56,0,-1,-1
-2.3,0.6,6.1,223,164,46,46,0,-1,-1
-0.6,-4.2,5.1,210,177,39,39,0,-1,-1
2.1,-2.8,-2.3,323,473,105,105,0,-1,-1
0.9,-2,1.7,279,414,75,75,0,-1,-1
2.9,2.3,6.2,246,375,59,59,0,-1,-1
2,0,1.6,234,361,47,47,0,-1,-1
0.5,-2,-2.4,216,338,40,40,0,-1,-1
-0.4,-2.1,4,211,263,39,39,0,-1,-1
-2.2,-0.5,0.1,231,264,45,45,0,-1,-1
-2.3,1.5,-5.9,248,260,56,56,0,-1,-1
-1.8,-0.5,-6.8,271,246,73,73,0,-1,-1
-1.1,-0.3,-6.8,319,241,99,99,0,-1,-1
-4.4,4.4,-8.2,313,27,102,102,0,-1,-1
-2.2,0,-4.2,279,70,82,82,0,-1,-1
-0.4,1.9,-6.9,246,131,58,58,0,-1,-1
-0.7,0.6,0,226,142,45,45,0,-1,-1
-1.2,-0.2,-6.3,216,176,39,39,0,0,3
